unit_cost,unit_name,count_all,count_win,win_share
1,KogMaw,1577,877,0.5561192136968929
1,Briar,918,469,0.5108932461873639
1,Shen,692,305,0.4407514450867052
1,Illaoi,583,234,0.4013722126929674
1,JarvanIV,554,237,0.427797833935018
1,Anivia,503,200,0.3976143141153082
1,Caitlyn,267,121,0.45318352059925093
1,Rumble,248,58,0.23387096774193547
1,Lulu,192,50,0.2604166666666667
1,Sona,180,59,0.3277777777777778
1,Qiyana,166,28,0.1686746987951807
1,Jhin,157,77,0.49044585987261147
1,Viego,125,60,0.48
1,Blitzcrank,79,17,0.21518987341772153
2,Vi,3452,1644,0.4762456546929316
2,Neeko,2916,1325,0.4543895747599451
2,Ashe,1653,754,0.45614035087719296
2,ChoGath,1592,861,0.5408291457286433
2,RekSai,957,582,0.6081504702194357
2,TwistedFate,828,455,0.5495169082125604
2,Poppy,710,263,0.3704225352112676
2,XinZhao,677,279,0.4121122599704579
2,Sion,454,169,0.3722466960352423
2,Graves,396,131,0.33080808080808083
2,Bard,356,119,0.3342696629213483
2,Orianna,332,121,0.3644578313253012
2,Tryndamere,318,178,0.559748427672956
2,Yorick,257,122,0.47470817120622566
2,Teemo,215,61,0.2837209302325581
2,Yasuo,202,87,0.4306930693069307
2,Aphelios,172,69,0.4011627906976744
2,Tristana,160,33,0.20625
2,Ekko,96,33,0.34375
3,Kobuko,2293,1072,0.46750981247274315
3,Nautilus,2215,1174,0.5300225733634312
3,Kennen,2133,970,0.4547585560243788
3,Loris,1962,882,0.44954128440366975
3,Sejuani,1894,833,0.43980992608236535
3,Malzahar,1092,610,0.5586080586080586
3,Gangplank,827,460,0.5562273276904474
3,Draven,819,427,0.5213675213675214
3,Milio,495,157,0.31717171717171716
3,Vayne,468,208,0.4444444444444444
3,Ahri,315,145,0.4603174603174603
3,Leona,278,66,0.23741007194244604
3,DrMundo,263,92,0.34980988593155893
3,Gwen,217,98,0.45161290322580644
3,Jinx,175,56,0.32
3,Darius,142,50,0.352112676056338
3,Zoe,113,28,0.24778761061946902
3,Leblanc,83,23,0.27710843373493976
4,Swain,5679,2999,0.5280859306215883
4,Taric,4259,2124,0.49870861704625497
4,Wukong,3614,1806,0.4997232982844494
4,Seraphine,2958,1487,0.5027045300878973
4,Braum,2489,1100,0.44194455604660504
4,BelVeth,1690,944,0.5585798816568047
4,RiftHerald,1679,935,0.5568790946992257
4,Kaisa,1671,918,0.5493716337522442
4,MissFortune,1646,917,0.5571081409477521
4,Diana,1474,768,0.5210312075983717
4,Lissandra,1456,642,0.4409340659340659
4,Yunara,1453,697,0.4796971782518926
4,Ambessa,1192,569,0.4773489932885906
4,Renekton,917,665,0.7251908396946565
4,Garen,825,334,0.40484848484848485
4,Lux,737,323,0.43826322930800543
4,Nasus,611,248,0.40589198036006546
4,Fizz,508,218,0.42913385826771655
4,Skarner,441,204,0.46258503401360546
4,Kalista,280,135,0.48214285714285715
4,Nidalee,236,94,0.3983050847457627
4,Warwick,208,82,0.3942307692307692
4,Singed,123,40,0.3252032520325203
4,Yone,105,57,0.5428571428571428
4,Veigar,89,45,0.5056179775280899
5,Lucian,5300,3208,0.6052830188679246
5,Shyvana,4687,2817,0.6010241092383187
5,Fiddlesticks,3892,2316,0.5950668036998972
5,Kindred,3052,1751,0.5737221494102228
5,Azir,2875,1555,0.5408695652173913
5,Ornn,2182,1144,0.5242896425297892
5,Annie,2108,1090,0.5170777988614801
5,Volibear,2015,1391,0.6903225806451613
5,AnnieTibbers,1999,1046,0.5232616308154077
5,Sett,1974,1065,0.5395136778115501
5,Zilean,1804,927,0.5138580931263859
5,TahmKench,1325,838,0.6324528301886793
5,Mel,694,319,0.4596541786743516
5,Galio,475,248,0.5221052631578947
5,Xerath,474,302,0.6371308016877637
5,Aatrox,460,264,0.5739130434782609
5,Thresh,294,156,0.5306122448979592
5,THex,188,90,0.4787234042553192
5,Ziggs,188,96,0.5106382978723404
7,Sylas,1407,884,0.6282871357498223
7,BaronNashor,742,633,0.8530997304582211
7,Brock,342,236,0.6900584795321637
7,Ryze,320,227,0.709375
7,Zaahen,63,43,0.6825396825396826
7,AurelionSol,57,21,0.3684210526315789
